Ride Name,Land,Latitude,Longitude,Number Nam,Park Name,country,district,state,capacidade
Astro Orbiter,Tomorrowland,"28.4184208","-81.5791334","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"450"
Buzz Lightyear's Space Ranger Spin,Tomorrowland,"28.4180967","-81.5795471","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"720"
Monsters Inc. Laugh Floor,Tomorrowland,"28.4183892","-81.5796832","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
Space Mountain,Tomorrowland,"28.4190482","-81.5775066","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1800"
Tomorrowland Speedway,Tomorrowland,"28.4193767","-81.579299","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"450"
Tomorrowland Transit Authority PeopleMover,Tomorrowland,"28.4182419","-81.5790522","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
TRON Lightcycle / Run – New!,Tomorrowland,"28.4200989","-81.577111","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1680"
Walt Disney's Carousel of Progress,Tomorrowland,"28.4180177","-81.5790744","6",Disney Magic Kingdom,USA,Lake Buena Vista,FL,"1000"
Disney Junior Play and Dance!,Animation Courtyard,"28.3577993","-81.5606091","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"200"
Meet Sulley at Walt Disney Presents,Animation Courtyard,"28.3570857","-81.5610016","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"350"
Walt Disney Presents,Animation Courtyard,"28.3581174","-81.5606904","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1000"
Meet Disney Stars at Red Carpet Dreams,Commissary Lane,"28.3560974","-81.5594416","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"350"
For the First Time in Forever: A Frozen Sing-Along Celebration,Echo Lake,"28.356796","-81.5596088","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"400"
Indiana Jones™ Epic Stunt Spectacular!,Echo Lake,"28.3567028","-81.558612","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1080"
Meet Olaf at Celebrity Spotlight,Echo Lake,"28.3561233","-81.5590386","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"350"
Star Tours – The Adventures Continue,Echo Lake,"28.3554358","-81.558795","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1620"
Vacation Fun - An Original Animated Short with Mickey & Minnie,Echo Lake,"28.3562869","-81.5590253","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1000"
Mickey & Minnie's Runaway Railway,Hollywood Boulevard,"28.3567258","-81.5605711","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"2160"
Muppet*Vision 3D,Muppet Courtyard,"28.355096","-81.559502","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"900"
Toy Story Mania!,Pixar Place,"28.356472","-81.561962","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"2160"
Millennium Falcon: Smugglers Run,Star Wars: Galaxy's Edge,"28.3538681","-81.5616404","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1620"
Star Wars: Rise of the Resistance,Star Wars: Galaxy's Edge,"28.3548227","-81.560451","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1400"
Beauty & The Beast Live on Stage,Sunset Boulevard,"28.3591375","-81.5593766","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"400"
Lightning McQueen's Racing Academy,Sunset Boulevard,"28.3599375","-81.5609375","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1080"
Rock 'n' Roller Coaster Starring Aerosmith,Sunset Boulevard,"28.3595959","-81.5608176","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1620"
The Twilight Zone Tower of Terror™,Sunset Boulevard,"28.3601276","-81.5599378","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1800"
Alien Swirling Saucers,Toy Story Land,"28.3553969","-81.5624857","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"900"
Slinky Dog Dash,Toy Story Land,"28.3562479","-81.5628375","7",Disney Hollywood Studio,USA,Lake Buena Vista,FL,"1400"
Festival of the Lion King,Africa,"28.3583359","-81.5928197","8",Animal kingdom,USA,Lake Buena Vista,FL,"1375"
Gorilla Falls Exploration Trail,Africa,"28.3603165","-81.5925899","8",Animal kingdom,USA,Lake Buena Vista,FL,"500"
Kilimanjaro Safaris,Africa,"28.3594005","-81.5921844","8",Animal kingdom,USA,Lake Buena Vista,FL,"1260"
Wildlife Express Train,Africa,"28.3597634","-81.5913635","8",Animal kingdom,USA,Lake Buena Vista,FL,"1200"
Expedition Everest - Legend of the Forbidden Mountain,Asia,"28.358223","-81.5863448","8",Animal kingdom,USA,Lake Buena Vista,FL,"1620"
